material,gLen_µm,freq_Ghz,gain_dB,noise_dB,Pdc_mW,bandwidth_GHz,lna_arch
GaAs ,0.1,12,12,2.5,null,20,Distributed
GaAs ,0.18,1.5,23,0.5,35,0.3,2stage
GaAs ,0.1,68.5,13,4,100,17,3stage
GaAs ,0.15,11.5,18,1.2,80,7,3stage
GaAs ,0.1,50,15,3.85,130,20,4stage
GaAs ,0.13,24,19.5,1.9,75,4,3stage
GaAs ,0.1,85,14,4.5,120,30,4stage
GaAs ,0.15,9.5,14,2.15,160,17,Distributed
GaAs ,0.1,10,18,1.5,90,10,3stage
InP ,0.1,125,14,5,80,30,3stage
GaAs ,0.15,23,16,2.2,85,6,3stage
GaAs ,0.13,32.5,14,2.6,95,7,3stage
GaAs ,0.1,46,13,3,100,8,3stage
GaAs ,0.15,7,16,1.5,110,10,Distributed
GaAs ,0.18,3.25,15,2,40,5.5,null
GaAs ,0.1,12,20,1.5,100,12,4stage
GaAs ,0.15,21,17,1.8,70,6,3stage
GaAs ,0.13,28,16,2.1,80,6,3stage
GaAs ,0.1,37,14,2.5,90,6,3stage
GaAs ,0.15,11,13.5,2.25,140,18,Distributed
InP ,0.07,82.5,15,3.3,65,25,4stage
GaAs ,0.1,57.5,14,3.7,110,15,3stage
GaAs ,0.15,15,19,1.3,60,6,4stage
GaAs ,0.13,23.5,17,1.8,75,7,3stage
GaAs ,0.1,31.5,15,2.2,85,7,3stage
GaN ,0.15,10,25,0.9,180,2,3stage
GaN,0.2,8,18,1.3,140,2,2stage
GaN ,0.25,2.4,18,0.9,50,0.6,Singlestage
GaN ,0.15,6,20,1.35,120,4,3stage
GaN ,0.1,94,20,3.8,84,10,4stage
GaN ,0.15,30,22,2,60,5,3stage
GaN ,0.25,1.4,18.5,0.7,112,0.4,2stage
GaN,0.15,35,20,2.2,95,5.5,3stage
GaN ,0.25,2.1,21,0.8,168,null,2stage
GaN ,0.15,50,14,4,null,20,Distributed
GaN ,0.15,5,19.5,1.3,70,1,Singlestage
GaN ,0.1,92.5,20,4,130,35,5stage
GaN,0.15,28,23,2.3,115,6,4stage
GaN ,0.07,115,12,6.25,90,50,3stage
GaN ,0.15,10,26.5,0.85,160,4,3stage
GaN ,0.15,6,18.5,1.2,100,2,2stage
GaN ,0.25,2.5,19.2,0.9,84,null,Singlestage
GaN ,0.15,15,15,1.8,130,10,2stage
GaN,0.2,5.2,18,1.2,100,1,2stage
GaN ,0.15,35,16,2.5,140,10,3stage
GaN ,0.1,78.5,23,4.2,120,15,4stage
GaN ,0.15,24,25,1.9,75,4,3stage
GaN ,0.25,1.6,21.5,0.7,126,0.4,2stage
GaN ,0.15,60,18,3.5,90,10,3stage
GaN,0.1,94,25,3,110,8,5stage
GaN ,0.25,1.6,20,1,112,1.6,null
GaN ,0.15,18,21.5,1.5,140,4,3stage
GaN ,0.15,40,19,2.8,85,6,3stage
GaN ,0.2,3.5,19,1.3,90,1,2stage
GaN ,0.07,92.5,19,4.5,125,35,4stage
GaN,0.15,26,24,2.2,105,4,4stage
GaN ,0.15,14,14,1.85,160,8,Distributed
GaN ,0.25,6,12,2.5,180,8,Distributed
GaN ,0.15,24,23,2,65,4,3stage
GaN ,0.1,94,21,3.6,88,10,4stage
GaN ,0.15,55,16,3.5,100,10,3stage
GaN,0.25,4.8,18,1.1,120,1,2stage
GaN ,0.15,30,26,1.9,145,5,4stage
GaN ,0.15,12,15,1.4,110,8,2stage
GaN ,0.25,1.2,23.5,0.65,154,0.2,2stage
GaN ,0.1,78.5,24,4.1,128,15,4stage
GaN ,0.15,35,21,2.3,92,5.5,3stage
GaN,0.2,6,20,1,130,2,2stage
GaN ,0.25,1.7,21.5,1.2,140,2.6,null
GaN ,0.15,18,20,1.8,80,4,3stage
GaN ,0.1,90,15,4.5,100,20,3stage
GaN ,0.15,10,16,2,200,16,Distributed
GaN ,0.15,28,22.5,2.1,115,5,3stage
GaN ,0.07,120,13,5.75,85,40,3stage
